Year,Area FIPS Code,Group Code,State,Group,Age,Race,Civilian non-institutional population,Civilian labor force,Civilian labor force Percent of population,Employment Number,Employment Percent of population,Unemployment Number,Unemployment Rate
2015,1,1,Alabama,Total,Total,Total,"3,807","2,158",56.7,"2,026",53.2,132,6.1
2015,1,4,Alabama,White,Total,White,"2,706","1,523",56.3,"1,457",53.8,66,4.3
2015,1,7,Alabama,Black or African American,Total,Black,977,567,58,506,51.8,60,10.6
2015,1,13,Alabama,Hispanic or Latino ethnicity,Total,Hispanic,124,82,66.1,77,61.8,5,6.5
2015,2,1,Alaska,Total,Total,Total,540,362,67,338,62.5,24,6.7
2015,2,4,Alaska,White,Total,White,359,243,67.6,230,64.1,13,5.2
2015,2,7,Alaska,Black or African American,Total,Black,19,14,72.9,13,69.5,1,4.6
2015,2,13,Alaska,Hispanic or Latino ethnicity,Total,Hispanic,36,28,77,27,73.1,1,5.1
2015,4,1,Arizona,Total,Total,Total,"5,256","3,155",60,"2,964",56.4,191,6
2015,4,4,Arizona,White,Total,White,"4,513","2,684",59.5,"2,530",56.1,154,5.7
2015,4,7,Arizona,Black or African American,Total,Black,227,157,69.2,143,62.9,14,9.1
2015,4,13,Arizona,Hispanic or Latino ethnicity,Total,Hispanic,"1,861","1,193",64.1,"1,094",58.8,99,8.3
2015,5,1,Arkansas,Total,Total,Total,"2,299","1,337",58.1,"1,266",55.1,70,5.2
2015,5,4,Arkansas,White,Total,White,"1,889","1,107",58.6,"1,059",56,48,4.3
2015,5,7,Arkansas,Black or African American,Total,Black,333,184,55.1,165,49.4,19,10.3
2015,5,13,Arkansas,Hispanic or Latino ethnicity,Total,Hispanic,149,99,66.2,92,61.8,7,6.7
2015,6,1,California,Total,Total,Total,"30,493","18,966",62.2,"17,798",58.4,"1,168",6.2
2015,6,4,California,White,Total,White,"22,292","13,974",62.7,"13,136",58.9,837,6
2015,6,7,California,Black or African American,Total,Black,"1,932","1,168",60.5,"1,039",53.8,129,11
2015,6,13,California,Hispanic or Latino ethnicity,Total,Hispanic,"10,628","6,878",64.7,"6,353",59.8,525,7.6
2015,8,1,Colorado,Total,Total,Total,"4,213","2,800",66.5,"2,692",63.9,109,3.9
2015,8,4,Colorado,White,Total,White,"3,765","2,516",66.8,"2,422",64.3,95,3.8
2015,8,7,Colorado,Black or African American,Total,Black,164,106,64.4,100,60.6,6,5.9
2015,8,13,Colorado,Hispanic or Latino ethnicity,Total,Hispanic,692,478,69.1,452,65.3,26,5.5
2015,9,1,Connecticut,Total,Total,Total,"2,880","1,896",65.8,"1,790",62.1,106,5.6
2015,9,4,Connecticut,White,Total,White,"2,375","1,564",65.9,"1,494",62.9,70,4.5
2015,9,7,Connecticut,Black or African American,Total,Black,309,197,63.9,171,55.4,26,13.2
2015,9,13,Connecticut,Hispanic or Latino ethnicity,Total,Hispanic,337,225,66.8,199,59.2,26,11.3
2015,10,1,Delaware,Total,Total,Total,747,468,62.6,444,59.5,23,5
2015,10,4,Delaware,White,Total,White,549,338,61.4,323,58.8,15,4.3
2015,10,7,Delaware,Black or African American,Total,Black,157,103,65.7,95,60.5,8,8
2015,10,13,Delaware,Hispanic or Latino ethnicity,Total,Hispanic,55,41,73.8,39,69.5,2,6
2015,11,1,District of Columbia,Total,Total,Total,551,386,70.1,359,65.3,27,6.9
2015,11,4,District of Columbia,White,Total,White,251,206,82.1,200,79.7,6,2.9
2015,11,7,District of Columbia,Black or African American,Total,Black,258,148,57.3,128,49.7,20,13.3
2015,11,13,District of Columbia,Hispanic or Latino ethnicity,Total,Hispanic,55,42,76.9,41,73.8,2,4
2015,12,1,Florida,Total,Total,Total,"16,243","9,540",58.7,"9,023",55.6,517,5.4
2015,12,4,Florida,White,Total,White,"13,060","7,572",58,"7,221",55.3,350,4.6
2015,12,7,Florida,Black or African American,Total,Black,"2,492","1,547",62.1,"1,407",56.5,139,9
2015,12,13,Florida,Hispanic or Latino ethnicity,Total,Hispanic,"3,901","2,476",63.5,"2,333",59.8,143,5.8
2015,13,1,Georgia,Total,Total,Total,"7,755","4,746",61.2,"4,471",57.7,275,5.8
2015,13,4,Georgia,White,Total,White,"4,913","2,964",60.3,"2,844",57.9,120,4
2015,13,7,Georgia,Black or African American,Total,Black,"2,370","1,475",62.2,"1,337",56.4,138,9.3
2015,13,13,Georgia,Hispanic or Latino ethnicity,Total,Hispanic,630,428,67.9,406,64.4,22,5.1
2015,15,1,Hawaii,Total,Total,Total,"1,092",678,62.1,652,59.7,25,3.7
2015,15,4,Hawaii,White,Total,White,236,143,60.8,137,58,6,4.5
2015,15,7,Hawaii,Black or African American,Total,Black,22,12,54.1,11,51.8,1,4.1
2015,15,13,Hawaii,Hispanic or Latino ethnicity,Total,Hispanic,95,60,63.1,57,60.5,3,4.1
2015,16,1,Idaho,Total,Total,Total,"1,246",801,64.3,767,61.6,34,4.3
2015,16,4,Idaho,White,Total,White,"1,183",760,64.2,728,61.6,32,4.2
2015,16,13,Idaho,Hispanic or Latino ethnicity,Total,Hispanic,140,102,73.2,96,68.8,6,5.9
2015,17,1,Illinois,Total,Total,Total,"10,082","6,519",64.7,"6,133",60.8,386,5.9
2015,17,4,Illinois,White,Total,White,"7,940","5,195",65.4,"4,936",62.2,258,5
2015,17,7,Illinois,Black or African American,Total,Black,"1,408",847,60.2,744,52.8,103,12.2
2015,17,13,Illinois,Hispanic or Latino ethnicity,Total,Hispanic,"1,424",983,69,912,64.1,71,7.2
2015,18,1,Indiana,Total,Total,Total,"5,132","3,273",63.8,"3,116",60.7,156,4.8
2015,18,4,Indiana,White,Total,White,"4,487","2,879",64.2,"2,750",61.3,129,4.5
2015,18,7,Indiana,Black or African American,Total,Black,454,283,62.2,263,57.8,20,7
2015,18,13,Indiana,Hispanic or Latino ethnicity,Total,Hispanic,355,260,73.2,245,69.1,15,5.6
2015,19,1,Iowa,Total,Total,Total,"2,439","1,700",69.7,"1,639",67.2,61,3.6
2015,19,4,Iowa,White,Total,White,"2,263","1,575",69.6,"1,525",67.4,50,3.2
2015,19,7,Iowa,Black or African American,Total,Black,72,47,64.9,40,55.4,7,14.8
2015,19,13,Iowa,Hispanic or Latino ethnicity,Total,Hispanic,102,81,78.7,77,75.2,4,4.5
2015,20,1,Kansas,Total,Total,Total,"2,210","1,495",67.6,"1,430",64.7,65,4.3
2015,20,4,Kansas,White,Total,White,"1,921","1,303",67.8,"1,250",65.1,54,4.1
2015,20,7,Kansas,Black or African American,Total,Black,133,89,66.9,83,62.5,6,6.6
2015,20,13,Kansas,Hispanic or Latino ethnicity,Total,Hispanic,219,166,75.8,159,72.3,8,4.5
2015,21,1,Kentucky,Total,Total,Total,"3,444","1,946",56.5,"1,841",53.4,106,5.4
2015,21,4,Kentucky,White,Total,White,"3,093","1,742",56.3,"1,658",53.6,85,4.9
2015,21,7,Kentucky,Black or African American,Total,Black,253,149,58.7,132,52.1,17,11.2
2015,21,13,Kentucky,Hispanic or Latino ethnicity,Total,Hispanic,97,72,74.6,65,67.4,7,9.7
2015,22,1,Louisiana,Total,Total,Total,"3,574","2,166",60.6,"2,032",56.9,134,6.2
2015,22,4,Louisiana,White,Total,White,"2,336","1,438",61.6,"1,369",58.6,69,4.8
2015,22,7,Louisiana,Black or African American,Total,Black,"1,096",633,57.8,571,52.2,61,9.7
2015,22,13,Louisiana,Hispanic or Latino ethnicity,Total,Hispanic,173,117,67.5,108,62.4,9,7.6
2015,23,1,Maine,Total,Total,Total,"1,093",678,62,649,59.3,30,4.4
2015,23,4,Maine,White,Total,White,"1,033",640,62,613,59.4,27,4.2
2015,23,7,Maine,Black or African American,Total,Black,11,9,82.8,8,74.3,1,10.1
2015,23,13,Maine,Hispanic or Latino ethnicity,Total,Hispanic,14,8,59.3,7,52.5,1,12
2015,24,1,Maryland,Total,Total,Total,"4,717","3,180",67.4,"3,014",63.9,165,5.2
2015,24,4,Maryland,White,Total,White,"2,898","1,965",67.8,"1,894",65.4,71,3.6
